,cost,Memory(GB),PubsubMessageSize(Bytes),es,ls,ef,lf,slackTime,duration,function
0,4.64E-07,0.256,-,0,0,30,30,0,60,Text2SpeechCensoringWorkflow_GetInput
1,4.64E-07,0.256,-,31,1815.5,52,1836.5,1784.5,51,Text2SpeechCensoringWorkflow_Profanity
2,7.84E-07,0.256,-,1024,1024,1536,1536,0,542,Text2SpeechCensoringWorkflow_Text2Speech
3,6.56E-07,0.256,-,1538,1538,1848,1848,0,340,Text2SpeechCensoringWorkflow_Conversion
4,2.90E-06,2,-,1849,1849,2252.5,2252.5,0,443.5,Text2SpeechCensoringWorkflow_Compression
5,8.48E-07,0.256,-,3348.5,3348.5,4045.5,4045.5,0,727,Text2SpeechCensoringWorkflow_Censor
6,5.28E-07,0.256,-,2253.5,2253.5,2359.5,2359.5,0,136,Text2SpeechCensoringWorkflow_MergedFunction
7,3.73E-08,-,521.1931197,30,1814.5,31,1815.5,1784.5,1,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity
8,3.73E-08,-,521.7547131,30,30,1024,1024,0,994,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech
9,3.73E-08,-,331.6621734,52,1836.5,469,2253.5,1784.5,417,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction
10,3.73E-08,-,269.2255863,1536,1536,1538,1538,0,2,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion
11,3.73E-08,-,253.1764706,1848,1848,1849,1849,0,1,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression
12,3.73E-08,-,331.6621734,2252.5,2252.5,2253.5,2253.5,0,1,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction
13,3.73E-08,-,339.2794333,2359.5,2359.5,3348.5,3348.5,0,989,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor